nCI,Start_Time,End_Time,Duration_Minutes,Recommendation
357783979,2025-08-03 04:15:00,2025-08-03 04:45:00,45,Shut Down (Low Utilization)
357783979,2025-08-04 04:00:00,2025-08-04 05:00:00,75,Shut Down (Low Utilization)
357783979,2025-08-05 01:00:00,2025-08-05 05:30:00,285,Shut Down (Low Utilization)
357783979,2025-08-06 01:00:00,2025-08-06 05:45:00,300,Shut Down (Low Utilization)
357783979,2025-08-07 01:00:00,2025-08-07 05:45:00,300,Shut Down (Low Utilization)
357783979,2025-08-08 01:00:00,2025-08-08 05:30:00,285,Shut Down (Low Utilization)
357783979,2025-08-09 01:00:00,2025-08-09 05:15:00,270,Shut Down (Low Utilization)
357783979,2025-08-10 04:15:00,2025-08-10 04:45:00,45,Shut Down (Low Utilization)
357783979,2025-08-11 04:00:00,2025-08-11 05:00:00,75,Shut Down (Low Utilization)
357783979,2025-08-12 01:00:00,2025-08-12 05:30:00,285,Shut Down (Low Utilization)
357783979,2025-08-13 01:00:00,2025-08-13 05:45:00,300,Shut Down (Low Utilization)
357783979,2025-08-14 01:00:00,2025-08-14 05:45:00,300,Shut Down (Low Utilization)
357783979,2025-08-15 01:00:00,2025-08-15 05:30:00,285,Shut Down (Low Utilization)
357783979,2025-08-16 01:00:00,2025-08-16 05:15:00,270,Shut Down (Low Utilization)
357783979,2025-08-17 04:15:00,2025-08-17 04:45:00,45,Shut Down (Low Utilization)
357783979,2025-08-18 04:00:00,2025-08-18 05:00:00,75,Shut Down (Low Utilization)
357783979,2025-08-19 01:00:00,2025-08-19 05:30:00,285,Shut Down (Low Utilization)
357783979,2025-08-20 01:00:00,2025-08-20 05:45:00,300,Shut Down (Low Utilization)
357783979,2025-08-21 01:00:00,2025-08-21 05:45:00,300,Shut Down (Low Utilization)
357783979,2025-08-22 01:00:00,2025-08-22 05:30:00,285,Shut Down (Low Utilization)
357783979,2025-08-23 01:00:00,2025-08-23 05:15:00,270,Shut Down (Low Utilization)
357783979,2025-08-24 04:15:00,2025-08-24 04:45:00,45,Shut Down (Low Utilization)
